PESTICIDE FORMULATIONS REGISTERED FOR USE IN THE COUNTRY
UNDER THE INSECTICIDES ACT, 1968
                                                          (Updated on 31.03.2026)
                             FORMULATIONS OF PESTICIDES
S. No.   Formulation registered
                                       A. INSECTICIDES
1058   Carfentrazone ethyl 5% + Clodinafop propargyl 15% DF
1059   Clodinafop propargyl 15% + Metsulfuron methyl 1%WP
1060   Clodinafop propargyl 9%+Metribuzin 20%WP(w/w)
1061   Clodinafop-propargyl 10%+Metribuzin 17%+Metsulfuron-methyl 0.53% WP
1062   Clodinafop- propargyl 12.25 % + Oxyfluorfen 14.7 % EC
1063   Clomazone 20% + 2,4-DEthyl Ester 30%EC
1064   Clomazone22.5%+Metribuzin 21%WP
1065   Diclosulam 0.9% + Pendimethalin 35% SL
1066   Diuron 25.6% + Glyphosate 14.9% + Oxyfluorfen 11.5% SC
1067   Fenoxaprop-p-ethyl 7.77%+ Metribuzin13.6% EC
1068   Fenoxaprop-p-ethyl 6% + Chlorimuron ethyl 0.9% + Imazethapyr 10% SC
1069   Fenoxaprop p ethyl 5% + Chlorimuron ethyl 0.6% + Pretilachlor 50% ME
1070   Fenoxaprop p ethyl 6% + Pyrazosulfuron ethyl 1.5% + Pretilachlor 50% ME
1071   Florpyrauxifen-benzyl 1.31% +Penoxsulam 2.1%OD
1072   Florpyrauxifen-benzyl 2.13% + Cyhalofop butyl 10.64% EC
1073   Fluazifop-p-butyl 11.1%+Fomesafen 11.1%SL
1074   Fluthiacet-methyl 2.5 % + Quizalofop-ethyl 10 % EC
1075   Fluroxpyr 13.8% + (Meptyl 20%) + Metribuzin 5.6% EC
1076   Fomesafen12%+ Quizalofop ethyl 3%SC
1077   Fomesafen 12.5% + Fenoxaprop-p-Ethyl 10% + Chlorimuron Ethyl 0.9% ME
1078   Fomesafen 12.5% + Quizalofop ethyl 4.68% EC
1079   Fomesafen 16.8% + Propaquizafop 5.2% ME
1080   Fomesafen 17.5% + Clodinafop-propargyl 12.5% ME
1081   Glufosinate ammonium 11.65% + Metolachlor 27.30% EW
1082   Glufosinate ammonium 13.4% + Oxyfluorfen 4.8% w/w EW
1083    Glufosinate ammonium 14.3% + Glyphosate (isopropyl ammonium) 18.04% SL
1084    Halauxifen methyl 20.8%+Florasulam 20.0%w/w WG (With Surfactant)
1085    Haloxyfop R Methyl 12.8% + Imazethapyr 10% ME
1086    Halosulfuron methyl 12%+Metribuzin55%WG
1087    Halosulfuron methyl 6% + Metribuzin 50% WG
1088    Halosulfuron methyl 5%+Atrazine48%WG
1089    Hexazinone13.2% + Diuron 46.8% WP
1090    Imazapic 17.5% + Imazapyr 52.5% WG
1091    Imazethapyr 35%+Imazamox35%WG
1092    Indaziflam1.65% + Glyphosate Isopropyl Ammonium 44.63%SC
1093    Imazosulfuron 1% + Pretilachlor 8% GR
1093    Mesosulfuron methyl 3% +Iodosulfuronmethylsodium0.6% WG
1094    Mesotrione2.27%+Atrazine 22.7%SC
1095    Mesotrione 7.5% + Atrazine 60% + Halosulfuron-methyl 3.7% WG
1096    Metamifop 8% + Imazethapyr 4% + Imazamox 3% ME
1097   Metolachlor 39.37% + Oxyfluorfen 3.94% EC
1098   Metolachlor 35.98% + Sulfentrazone 11.51% EC
1099   MEtribuzine 21% + Pyroxasulfone 12.75% WG
1100    Metribuzin 42% + Clodinafop propargyl 12%WG
1101    Metribuzin 16.8% + 2,4-D sodium salt 56% WP
1102    Metsulfuron methyl 10%+Carfentrazone ethyl 40%DF
1103    Metsulfuron methyl 10%+Chlorimuron ethyl 10%WP
1105    Orthosulfamuron 0.6% + Pretilachlor 6% GR
1106    Oxyfluorfen 2.5% + Glyphosate (Isopropyl amine salt) 41%SC
1107    Oxyfluorfen 20% + Clodinafop propargyl 5% DF
1108    Oxadiargyl 1% + Pretilachlor 6% GR
1109    Paraquat dichloride 7.50% + Glyphosate 30% SC
1110    Paraquat dichloride 24% + Oxyfluorfen 5% SC
1111    Paraquat dichloride 22.4% + Oxyfluorfen 1.99% EW
1112    Pendimethalin 30%+Imazethapyr 2% EC
1113    Pendimethalin 35%+ Metribuzin 3.5%SE
1114    Pendimethalin 38.4%+Pyrazosulfuron ethyl 0.85%ZC
1115    Pendimethalin 15% + Pyrazosulfuron ethyl 0.15% GR
1116    Pendimethalin 40%+ Metribuzin 8% EC
1117    Pendimethalin 29.75% + Metribuzin 11.25% ZC
1118    Penoxsulam 0.97%+ Butachlor 38.8% SE
1119    Penoxsulam 1.02 %+ Cyhalofop-butyl 5.1% OD
1120    Penoxsulam 1% + Pendimethalin 24% SE
1121    Penoxsulam 2% + Oxadiazon 21% w/w SC
1122   Penoxasulam 9.0% + Pyrazusulfuron ethyl 6.0% WDG
1123   Penoxasulam 1.2% + Pretilachlor 30.8% SE
1124    Pretilachlor 27.4% w/w + Florpyrauxifen-benzyl 0.91% w/w EC
1125    Pretilachlor 30.0% + Pyrazosulfuron Ethyl 0.75% WG
1126    Pretilachlor 30.2% w/w + Florpyrauxifen-Benzyl 1.01% w/w EW
1127    Pretilachlor 6%+Pyrazosulfuron Ethyl 0.15% (H)
1128   Pretilachlor 6.0%+Pyrazosulfuron Ethyl 0.15% GR
1129   Pretilachlor 30.2% + Florpyrauxifen benzyl 1.01% EW
1130   Propanil 60% + Propyrisulfuron 2% WG
1131   Propanil 35.1% + Penoxsulam 0.9% w/w SC
1132   Propaquizafop 2.5%+ Imazethapyr 3.75% w/w ME
1133   Propaquizafop 5%+ Oxyfluorfen12% w/w EC
1134   Pyriftalid 31.0%w/w+ Bensulfuron methyl 15.7%w/w SC
1135   Pyrithiobac Sodium 4.5 w/w % + Glyphosate 60% w/w SG
1136   Pyrithiobac Sodium 6% + Quizalofop-ethyl 4% w/w EC
1137   Pyrithiobac sodium 3.1% + Pendimethalin 34.0% ZC
1138   Pyroxasulfone 63.75% + Diclosulam 13% WG
1139   Saflufenacil 68 g/l + Dimethenamid-P 600 g/l EC
1140   Quizalofop ethyl 10%EC+Chlorimuronethyl 25%WP + Surfactant (0.2) (Herbicide) (Twin
       pack)
1141   Quizalofop ethyl 4%+Oxyfluorfen 6% EC
1142   Quizalofop ethyl 7.5%+Imazethapyr 15%w/w EC
1143   Quizalofop ethyl 8.8% + Oxyfluorfen 19% WG
1144   Quizalofop-ethyl 3.6% + Fomesafen 12% + Imazethapyr 7% SC
1145   SodiumAcifluorfen1 6.5% + Clodinafop propargyl 8% EC
1146   Sulfentrazone 28%+ Clomazone 30% WP
1147   Sulfosulfuron 75%+Metsulfuron Methyl 5%WG
1148   Topramezone 10g/l +Atrazine 300g/l SC
1149   Topramezone 32 g/l + Dimethenamid-p 538 g/l EC
1150   Triafamone 20%+ Ethoxysulfuron l0%WG
1151   Tembotrione 9% + Atrazine 45% WG
                              D. INSECTICIDE + FUNGICIDE
1153   Azoxystrobin 1.3%+Tebuconazole 0.22%+Thiamethoxam 25.9% FS
1154   Azoxystrobin 2.5%+Thiophanate Methyl 11.25%+Thiamethoxam 25%FS
1155   Azoxystrobin 1.5% + Carbendazim 8.0% + Thiamethoxam 30% FS w/w
1156   Azoxystrobin 12% + Fenpyroximate 2.5% + Emamectin Benzoate 1% WG
1157   Azoxystrobin 10% + Fipronil 5% SC
1158   Carboxin 22.5% + Thiram 22.5% + Imidacloprid 18% WS
1159   Chlorantraniliprole 0.64% + Tebuconazole 3% + Clothianidin 1.92% GR
1160   Chlorantraniliprole 15.75% + Clothianidin 26.25% SC
1161   Flubendiamide 3.5%+Hexaconzole 5%WG
1162   Flubendiamide 7.5%+Kresoxim methyl 37.5%SC
1163   Imidacloprid 18.5%+Hexaconzole1.5%FS
1164   Isoprothiolane 28%+Fipronil 5% EC
1165   ISOPROTHIOLANE 15% + TRIFLOXYSTROBIN 2.5% + PYMETROZINE 7.5% SE
1166   Pyraclostrobin 3.5% + Thiram 15% + Clothianidin 22.5% FS
1167   Pyraclostrobin 10% + Fipronil 5% SC
1168   Pymetrozine 11.3% w/w + Triflumezopyrim 1.9% w/w SC
1169   Pymetrozine 25.0% + Thiamethoxam 17.5% + Hexaconazole 12.5% WG
1170   Pymetrozine 29.2% w/w + Dinotefuran 11.7% w/w WDG
1171   Pymetrozine 30 % + Tebuconazole 37 % WG
1172   Pymetrozine 30% + Dinotefuran 10% + Pyraclostrobin 20% WG
1173    TRIFLOXYSTROBIN 4% + FLUXAPYROXAD 6.66% + CLOTHIANIDIN 25% FS
                             E. PLANT GROTH REGULATORS
 1174   Cyclanilide 2.10% w/w + Mepiquat Chloride 8.40% w/w SC
 1175   Gibberellic acid 1.8% + 6-Benzyl Adenine 1.8% L
 1176   Gibberellic acid 1.8% w/w + 6-Benzylaminopurine 1.8% w/w L
                   F. PLANT GROWTH REGULATOR + FUNGICIDE
 1177   Triacontanol l80 g/ L + Pyraclostrobin 40 g/L FS
