PESTICIDE FORMULATIONS REGISTERED FOR USE IN THE COUNTRY
UNDER THE INSECTICIDES ACT, 1968
                                                          (Updated on 31.03.2026)
                             FORMULATIONS OF PESTICIDES
S. No.   Formulation registered
                                       A. INSECTICIDES
302   Ametryn 80% WG
303   Anilofos 18% EC
304   Anilofos 2% G
305   Anilofos 30% EC
306   Atrazine 50% WP
307   Azimsulfuron 50% DF
308   Beflubutamid 2.5% GR
309   Bensulfuron Methyl 60% DF
310   Bentazone 480 g/l SL
311   Bispyribac Sodium10% SC
312   Butachlor 5% GR
313   Butachlor 50% EC
314   Butachlor 50% EW
315   Carfentrazone ethyl 40% DF
316   Chlorimuron Ethyl 25% WP + Surfactant
317   Cinmethylin10% EC
318   Clethodim 13% w/w EC (Clethodim 12% w/v EC)
319   Clethodim 25% EC
320   Clodinafop propargyl 12.5% EC
321   Clodinafop-propargyl 15% DF
322   Clodinafop-propargyl 15% WP
323   Clomazone 50% EC
324   Cyhalofop-butyl 10% EC
325   Dicamba 48% SL
326   Diclofop-methyl 28% EC
327   Diclosulam 84%WDG
328   Diuron 80%WP
329   Ethalfluralin 35.65% EC (36% EC)
330   Ethoxysulfuron15% WDG
331   Fenoxaprop-p-ethyl 10%EC
332   Fenoxaprop-p-ethyl 6.7%w/w EC
333   Fenoxaprop-p-ethyl 9%w/w DF
334   Fenoxaprop-p-ethyl 9.3%w/w EC
335   Florpyrauxifen-benzyl 2.7% EC
336   Fluazifop-p-butyl 13.4% EC
337   Flucetosulfuron10% WG
338   Flazasulfuron 10% WP
339   Fluchloralin 45%EC
340   Flufenacet 60%DF
341   Flumioxazin 50%SC
342   Flurochloridone18.3%CS
343   Fluroxypyr meptyl 48%w/v (45.5%w/w) EC
344   Fluthiacet methyl 10.3%EC
345   Fomesafen 250 g/l (22.5% w/w) SL
346   Glufosinate Ammonium13.5% SL
347   Glufosinate Ammonium 50% WG
348   Glyphosate 20.2% SL (IPA Salt)
349   Glyphosate 41% SL (IPA Salt)
350   Glyphosate 54% SL (IPA Salt)
351   Glyphosate Ammonium Salt 20% SL
352   Glyphosate Ammonium Salt 5%SL
353   Glyphosate Ammonium Salt 71%SG
354   Glyphosate potassium salt 41.60% (equivalent to 54% SL w/v)
355   Halosulfuron methyl 75%WG
356   Haloxyfop R Methyl 10.5%w/w EC
357   Imazethapyr 10%SL
358   Imazethapyr 10%SL+ Surfactant
359   Imazethapyr 70% WG + Surfactant
360   Ipfencarbazone 25% SC (22.81% w/w)
361   Isoproturon 50%WP
362   Isoproturon 75%WP
363   MCPA, Amine salt 40%WSC
364   Metamifop 10%EC
365   Metamitron 70%SC
366   Methabenzthiazuron 70%WP
367   Metolachlor 50%EC
368   Metribuzin 70% WG
369   Metribuzin70% WP
370   Metsulfuron-methyl 20%WG
371   Metsulfuron-methyl 20%WP
372   Orthosulfamuron 50%WG
373   Oxadiargyl 6%EC
374   Oxadiargyl 80%WP
375   Oxadiazon 25% EC
376   Oxyfluorfen 0.35% GR
377   Oxyfluorfen 20% DF
378   Oxyfluorfen 23.5% EC
379   Paraquat dichloride 24% SL
380   Pendimethalin 30% EC
381   Pendimethalin 38.7% CS
382   Pendimethalin 5% Gr.
383   Penoxsulam 2.67% OD
384   Penoxsulam 21.7% SC
385   Pinoxaden 5.1% EC
386   Pretilachlor 30.7% EC
387   Pretilachlor 37% EW
388   Pretilachlor 50% EC
389   Propanil 35% EC
390   Propanil 80% DF
391   Propaquizafop10% EC
392   Pyrazosulfuron-ethyl 10% WP
393   Pyrazosulfuron-ethyl 70% WDG
394   Pyribenzoxim 5 % w/w EC
395   PyrithiobacSodium10% EC
396   Pyroxasulfone 85% WG
397   Quinclorac 250 g/l SC
